Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,32,4429,3643,1903,388,572,82,214,1247,22,117
C:\xampp\htdocs\OfferFinder,32,4429,3643,1903,388,572,82,214,1247,22,117
C:\xampp\htdocs\OfferFinder\_install,1,80,66,13,1,14,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application,21,1887,1596,775,238,149,1,142,462,0,0
C:\xampp\htdocs\OfferFinder\application\config,1,12,10,6,2,2,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers,9,772,589,412,111,95,0,88,334,0,0
C:\xampp\htdocs\OfferFinder\application\models,3,275,195,72,33,26,0,54,126,0,0
C:\xampp\htdocs\OfferFinder\application\views,8,828,802,285,92,26,1,0,2,0,0
C:\xampp\htdocs\OfferFinder\public,5,1761,1444,917,149,245,81,72,785,22,117
C:\xampp\htdocs\OfferFinder\public\css,2,277,232,199,0,36,0,9,40,9,40
C:\xampp\htdocs\OfferFinder\public\js,3,1484,1212,718,149,209,81,63,745,13,77
C:\xampp\htdocs\OfferFinder\public\js\date_picker,1,1342,1096,657,148,183,81,63,745,13,77
C:\xampp\htdocs\OfferFinder\public\js\google_maps,2,142,116,61,1,26,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\statistics,1,1,1,6,0,0,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test,4,700,536,192,0,164,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test\application,4,700,536,192,0,164,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test\application\controllers,4,700,536,192,0,164,0,0,0,0,0
