File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\OfferFinder\application\models\category.php,ShowCategories($cat_id),27,27,8,3,0,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,"AuthenticateUser($username, $password)",17,17,7,3,0,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,"AddCompany($comp_name, $display_name, $password, $email, $phone, $city, $address, $postal_code, $latitude, $longitude)",22,2,2,1,0,0,20,46,
C:\xampp\htdocs\OfferFinder\application\models\company.php,"UpdateProfile($comp_name, $display_name, $password, $email, $phone, $city, $address, $postal_code, $latitude, $longitude, $userId)",18,2,2,1,0,0,16,40,
C:\xampp\htdocs\OfferFinder\application\models\company.php,AutofillUpdateProfileForm($userId),17,16,7,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,RegisterCompNameExists($comp_name),16,15,6,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,RegisterEmailExists($email),16,15,6,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,RegisterPhoneExists($phone),16,15,6,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,"UpdateCompNameExists($comp_name, $id)",16,15,6,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,"UpdateEmailExists($email, $id)",16,15,6,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\company.php,"UpdatePhoneExists($phone, $id)",16,15,6,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\application\models\offer.php,"AddOffer($offer_name, $offer_descr, $cat_id, $start_date, $end_date, $discount, $price, $userId)",20,2,2,1,0,0,18,40,
C:\xampp\htdocs\OfferFinder\application\models\offer.php,GetOffers($userId),20,19,7,3,1,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,"Calendar(pDate, pCtrl)",40,37,24,3,2,3,1,11,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(shortMonthName),8,8,4,3,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(),3,3,2,1,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(),3,3,2,1,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(),8,8,6,2,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(),8,8,6,2,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(intMth),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(intYear),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,function(intHour),54,45,29,7,9,0,0,0,
